"input","output"
"棺材板","棺材板"
"太陽餅","太陽餅"
"薑母鴨","薑母鴨"
"麻糬","麻糬_A"
"麻糬","麻糬_B"
"米苔目","米苔目"
"擔仔麵","擔仔麵_A"
"擔仔麵","擔仔麵_B"
"蛋捲","蛋捲"
"鳳梨酥","鳳梨酥"
"萬巒豬腳","萬巒豬腳"
"全家便利商店","全家便利商店"
"OK便利商店","OK便利商店"
"好市多","好市多_A"
"好市多","好市多_B"
"幾年","幾年"
"大概","大概"
"破曉","破曉"
"黃昏","黃昏_A"
"半夜","半夜"
"打工","打工"
"兼差","兼差"
"耽誤","耽誤_A"
"耽誤 ","耽誤_B "
"流利","流利"
"隔壁鄰居","隔壁(鄰居)"
"十字路口","十字路口"
"紅綠燈","紅綠燈"
"百貨公司","百貨公司"
"菜市場","菜市場"
"書局","書局"
"購物中心","購物(量販)中心_A"
"購物中心","購物(量販)中心_B"
"停車場","停車場"
"文化中心","文化中心"
"美容院","美容院_A"
"美容院","美容院_B"
"旅館","旅館_A"
"旅館","旅館_B"
"自動提款機(ATM)","自動提款機(ATM)"
"絡繹不絕","絡繹不絕_A"
"絡繹不絕","絡繹不絕_B"
"手機","手機"
"智慧型手機","智慧型手機"
"蘋果手機","蘋果手機"
"安卓系統","安卓系統_A (手機系統)"
"安卓系統","安卓系統_B (手機系統)"
"三星","三星_A"
"三星","三星_B"
"SONY手機","SONY手機"
"運動場","運動場"
"操場","操場"
"高爾夫球場","高爾夫球場"
"網球","網球"
"羽毛球","羽毛球"
"排球","排球_B"
"排球","排球_C"
"排球","排球_D"
"排球","排球_E"
"壁球","壁球"
"躲避球","躲避球"
"電動玩具","電動玩具_B"
"電動玩具","電動玩具_C"
"油畫","油畫"
"水彩畫","水彩畫_A"
"水彩畫","水彩畫_B"
"國畫","國畫"
"木刻版畫","木刻版畫"
"購物","購物"
"赤崁樓","赤崁樓"
"孔廟","孔廟"
"植物","植物"
"礦物","礦物"
"廢物","廢物_A"
"廢物","廢物_B"
"食物","食物"
"菠菜","菠菜"
"米漿","米漿"
"榴槤","榴槤_A"
"榴槤","榴槤_B"
"拉麵","拉麵_A"
"拉麵","拉麵_B"
"鍋貼","鍋貼"
"上課","上課_A"
"上課","上課_B"
"上課","上課_C"
"教室","教室"
"休閒","休閒"
"履歷表","履歷表"
"經歷","經歷"
"對話","對話"
"啟聰學校","啟聰學校_A"
"啟聰學校","啟聰學校_B"
"薪水","薪水_B"
"牙膏","牙膏"
"毛巾","毛巾"
"浴巾","浴巾"
"浴帽","浴帽_A"
"浴帽","浴帽_B"
"安全帽","安全帽"
"洗髮精","洗髮精"
"沐浴乳","沐浴乳"
"浴室","浴室"
"客廳","客廳_A"
"客廳","客廳_B"
"拖鞋","拖鞋"
"皮鞋","皮鞋"
"礦泉水","礦泉水"
"吹風機","吹風機"
"冷氣機","冷氣機"
"洗衣機","洗衣機"
"吊扇","吊扇"
"筆記型電腦","筆記型電腦"
"扣子","扣子"
"蔥抓餅","蔥抓餅_A"
"蔥抓餅","蔥抓餅_B"
"豬血糕","豬血糕_A"
"豬血糕","豬血糕_B"
"蘿蔔糕","蘿蔔糕"
"紅豆餅","紅豆餅"
"米糕","米糕_A"
"米糕","米糕_B"
"豬腳麵線","豬腳麵線"
"海鮮","海鮮"
"高職","高職"
"申請","申請"
"科目","科目_A"
"科目","科目_B"
"藝術","藝術"
"科技","科技"
"科技大學","科技大學"
"學務處","學務處"
"國文","國文"
"十二生肖","十二生肖_A"
"十二生肖","十二生肖_B"
"企鵝","企鵝"
"荷花","荷花"
"梅花","梅花"
"松樹","松樹"
"豹","豹"
"金魚","金魚_A"
"金魚","金魚_B"
"商店","商店"
"媽祖廟","媽祖廟_A"
"媽祖廟","媽祖廟_B"
"城隍廟","城隍廟"
"圖書館","圖書館_B"
"美術館","美術館"
"活動中心","活動中心"
"文化中心","文化中心"
"公共廁所","公共廁所"
"麥當勞","麥當勞"
"胖老爹炸雞","胖老爹炸雞"
"設施","設施"
"尖","尖_A"
"尖","尖_B"
"濕","濕_A"
"濕","濕_B"
"蝨子","蝨子"
"角","角 (動物)"
"舌頭","舌頭"
"指甲","指甲"
"種子","種子"
"樹根","樹根"
"樹皮","樹皮"
"灰塵","灰塵"
"煙霧","煙霧_A"
"煙霧","煙霧_B"
"灰燼","灰燼"
"膨脹","膨脹"
"獵","獵"
"割","割"
"刺","刺"
"搔癢","搔癢"
"挖","挖"
"浮","浮"
"人口流動","人口流動"
"流動","流動_A"
"流動","流動_B"
"什麼時候","什麼時候_A"
"什麼時候","什麼時候_B"
"一些","一些"
"摩擦","摩擦"
"擦(桌子)","擦(桌子)"
"綁","綁_A"
"綁","綁_B"
"兆","兆_A"
"兆","兆_B"
"兆","兆_C"
"海獅","海獅"
"吉他","吉他"
"蘿蔔湯","蘿蔔湯"
"蛋花湯","蛋花湯"
"電子琴","電子琴"
"鯊魚","鯊魚"
"平板電腦","平板電腦"
"自由式","自由式"
"蛙式","蛙式"
"蝶式","蝶式"
"仰式","仰式"
"公車站","公車站_A"
"公車站","公車站_B"
"高鐵站","高鐵站_A"
"高鐵站","高鐵站_B"
"火車站","火車站"
"火車票","火車票"
"高鐵票","高鐵票_A"
"高鐵票","高鐵票_B"
"飛機票","飛機票"
"大家","大家"
"聽障","聽障_A"
"聽障","聽障_B"
"外公","外公"
"外婆","外婆"
"兄弟","兄弟"
"姊妹","姊妹"
"外孫","外孫"
"外孫女","外孫女"
"雙胞胎","雙胞胎"
"三胞胎","三胞胎"
"同性婚姻(男性)","同性婚姻(男性)"
"同性婚姻(女性)","同性婚姻(女性)"
"夫妻","夫妻_B"
"聾小孩","聾小孩"
"嫂嫂","嫂嫂"
"姊夫","姊夫"
"龍鳳胎","龍鳳胎"
"聽障小孩","聽障小孩"
"排行","排行"
"排行第幾","排行第幾_A"
"排行第幾","排行第幾_B"
"今年","今年"
"幾個星期前","幾個星期前"
"上個月","上個月"
"兩天後","兩天後"
"幾個星期後","幾個星期後"
"下個月","下個月_A"
"下個月","下個月_B"
"凌晨","凌晨"
"通宵","通宵"
"早餐","早餐"
"早午餐","早午餐"
"中餐","中餐"
"晚餐 ","晚餐 "
"每年","每年_A"
"每年","每年_B"
"手語課","手語課_A"
"手語課","手語課_B"
"鋼琴課","鋼琴課"
"英文課","英文課"
"數學課","數學課"
"LINE","LINE (通訊軟體)"
"研究所","研究所"
"國中一年級","國中一年級"
"國中二年級","國中二年級"
"國中三年級","國中三年級"
"高中一年級","高中一年級"
"高中二年級","高中二年級"
"高中三年級","高中三年級"
"大學一年級","大學一年級_A"
"大學一年級","大學一年級_B"
"大學一年級","大學一年級_C"
"大學一年級","大學一年級_D"
"國立中正大學","國立中正大學"
"國立清華大學","國立清華大學"
"國立交通大學","國立交通大學"
"國立成功大學","國立成功大學"
"東海大學","東海大學"
"國立台灣大學","國立台灣大學"
"逢甲大學","逢甲大學"
"民雄 ","民雄 "
"一半","一半_A"
"一半","一半_B"
"多久?","多久?"
"幾點?","幾點?"
"幾分鐘?","幾分鐘?_A"
"幾分鐘?","幾分鐘?_B"
"幾秒鐘?","幾秒鐘?_A"
"幾秒鐘?","幾秒鐘?_B"
"幾星期?","幾星期?"
"多少錢?","多少錢?"
"什麼事情?","什麼事情?_A"
"什麼事情?","什麼事情?_B"
"體重","體重"
"臉書","臉書"
"Instagram","Instagram"
"吃藥","吃藥"
"摩斯漢堡","摩斯漢堡"
"肯德基","肯德基_A"
"肯德基","肯德基_B"
"星巴克","星巴克_A"
"星巴克","星巴克_B"
"屈臣氏","屈臣氏_A"
"屈臣氏","屈臣氏_B"
"康是美","康是美"
"退化","退化_A"
"退化","退化_B"
"產出","產出"
"泡麵","泡麵_A"
"泡麵","泡麵_B"
"不是我","不是我_A"
"不是我","不是我_B"
"我沒有","我沒有_A"
"我沒有","我沒有_B"
"男追女","男追女"
"女追男","女追男"
"農曆","農曆_A"
"農曆","農曆_B"
"婦女節","婦女節"
"兒童節","兒童節"
"勞動節","勞動節"
"母親節","母親節"
"父親節","父親節"
"情人節","情人節_A"
"情人節","情人節_B"
"中元節","中元節_A"
"中元節","中元節_B"
"教師節","教師節"
"國定假日","國定假日"
"跨","跨"
"跨年","跨年"
"月餅","月餅_A"
"月餅","月餅_B"
"請假","請假"
"病假","病假"
"生理假","生理假"
"生理期","生理期_A"
"生理期","生理期_B"
"事假","事假_A"
"事假","事假_B"
"公假","公假"
"喪假","喪假"
"婚假","婚假"
"陪產假","陪產假"
"育嬰假","育嬰假"
"四季","四季"
"春天","春天_A"
"春天","春天_B"
"夏天","夏天_B"
"秋天","秋天_B"
"冬天","冬天_B"
"暑假","暑假"
"寒假","寒假"
"夏至","夏至"
"冬至","冬至"
"天氣","天氣_A"
"天氣","天氣_B"
"梅雨","梅雨"
"梅雨季節","梅雨季節"
"冰雹","冰雹"
"寒流","寒流"
"焚風","焚風_A"
"焚風","焚風_B"
"海嘯","海嘯"
"淹水","淹水"
"好久沒有","好久沒有_A"
"好久沒有","好久沒有_B"
"龍捲風","龍捲風_A"
"龍捲風","龍捲風_B"
"颱風假","颱風假"
"系","系_B"
"文學院","文學院"
"中國語文學系","中國語文學系"
"外國語文學系","外國語文學系"
"哲學系","哲學系"
"地球與環境科學系","地球與環境科學系"
"物理學系","物理學系"
"化學與生物學系","化學與生物學系"
"化學系","化學系"
"生物系","生物系"
"生命科學系","生命科學系"
"科","科_A"
"社會福利學系","社會福利學系"
"心理學系","心理學系"
"勞工關係學系","勞工關係學系"
"政治學系","政治學系"
"傳播學系","傳播學系_A"
"傳播學系","傳播學系_B"
"工學院","工學院"
"資訊工程學系","資訊工程學系"
"資訊","資訊"
"電機工程學系","電機工程學系"
"機械工程學系","機械工程學系"
"化學工程學系","化學工程學系_A"
"化學工程學系","化學工程學系_B"
"通訊工程學系","通訊工程學系"
"管理學院","管理學院"
"經濟學系","經濟學系"
"企業管理學系","企業管理學系"
"財務金融學系","財務金融學系"
"會計與科技資訊學系","會計與科技資訊學系"
"科技","科技"
"法學院","法學院"
"法律系","法律系"
"條文","條文_A"
"條文","條文_B"
"財經法律學系","財經法律學系"
"教育學院","教育學院"
"成人繼續教育學系","成人繼續教育學系"
"成人","成人"
"犯罪防治學系","犯罪防治學系"
"運動競技學系","運動競技學系"
"番茄","番茄"
"披薩","披薩"
"鮪魚","鮪魚"
"蓮霧","蓮霧_A"
"蓮霧","蓮霧_B"
"草莓","草莓_A"
"草莓","草莓_B"
"冬瓜","冬瓜"
"蘋果","蘋果"
